cp0; 324978; 129; 0; 0; Aceleracao; Velocidade; Deslocamento
cp1; 91873; 73; 0; 0; Aceleracao; Velocidade; Deslocamento
cp2; 327088; 104; 0; 0; Aceleracao; Velocidade; Deslocamento
cp3; 442821; 239; 0; 0; Aceleracao; Velocidade; Deslocamento
cp4; 295549; 182; 0; 0; Aceleracao; Velocidade; Deslocamento
cp5; 420716; 129; 0; 0; Aceleracao; Velocidade; Deslocamento
cp6; 416433; 6; 0; 0; Aceleracao; Velocidade; Deslocamento
cp7; 324046; 32; 0; 0; Aceleracao; Velocidade; Deslocamento
cp8; 350235; 136; 0; 0; Aceleracao; Velocidade; Deslocamento
cp9; 481860; 136; 0; 0; Aceleracao; Velocidade; Deslocamento
cp10; 451633; 135; 0; 0; Aceleracao; Velocidade; Deslocamento
cp11; 369624; 235; 0; 0; Aceleracao; Velocidade; Deslocamento
cp12; 423193; 16; 0; 0; Aceleracao; Velocidade; Deslocamento
cp13; 198865; 226; 0; 0; Aceleracao; Velocidade; Deslocamento
cp14; 85183; 28; 0; 0; Aceleracao; Velocidade; Deslocamento
cp15; 63712; 78; 0; 0; Aceleracao; Velocidade; Deslocamento
cp16; 234948; 182; 0; 0; Aceleracao; Velocidade; Deslocamento
cp17; 16912; 237; 0; 0; Aceleracao; Velocidade; Deslocamento
cp18; 27848; 93; 0; 0; Aceleracao; Velocidade; Deslocamento
cp19; 245677; 237; 0; 0; Aceleracao; Velocidade; Deslocamento
cp20; 182237; 92; 0; 0; Aceleracao; Velocidade; Deslocamento
cp21; 286918; 30; 0; 0; Aceleracao; Velocidade; Deslocamento
cp22; 183431; 244; 0; 0; Aceleracao; Velocidade; Deslocamento
cp23; 486981; 91; 0; 0; Aceleracao; Velocidade; Deslocamento
cp24; 415606; 20; 0; 0; Aceleracao; Velocidade; Deslocamento
cp25; 100884; 177; 0; 0; Aceleracao; Velocidade; Deslocamento
cp26; 159216; 128; 0; 0; Aceleracao; Velocidade; Deslocamento
cp27; 384864; 253; 0; 0; Aceleracao; Velocidade; Deslocamento
cp28; 125245; 181; 0; 0; Aceleracao; Velocidade; Deslocamento
cp29; 188761; 56; 0; 0; Aceleracao; Velocidade; Deslocamento
cp30; 461125; 194; 0; 0; Aceleracao; Velocidade; Deslocamento
cp31; 385673; 250; 0; 0; Aceleracao; Velocidade; Deslocamento
cp32; 234672; 130; 0; 0; Aceleracao; Velocidade; Deslocamento
cp33; 52386; 92; 0; 0; Aceleracao; Velocidade; Deslocamento
cp34; 251106; 183; 0; 0; Aceleracao; Velocidade; Deslocamento
cp35; 113993; 230; 0; 0; Aceleracao; Velocidade; Deslocamento
cp36; 424598; 58; 0; 0; Aceleracao; Velocidade; Deslocamento
cp37; 154748; 138; 0; 0; Aceleracao; Velocidade; Deslocamento
cp38; 123486; 150; 0; 0; Aceleracao; Velocidade; Deslocamento
cp39; 320498; 73; 0; 0; Aceleracao; Velocidade; Deslocamento
cp40; 444538; 79; 0; 0; Aceleracao; Velocidade; Deslocamento
cp41; 458201; 138; 0; 0; Aceleracao; Velocidade; Deslocamento
cp42; 10355; 224; 0; 0; Aceleracao; Velocidade; Deslocamento
cp43; 124216; 175; 0; 0; Aceleracao; Velocidade; Deslocamento
cp44; 129630; 97; 0; 0; Aceleracao; Velocidade; Deslocamento
cp45; 155777; 189; 0; 0; Aceleracao; Velocidade; Deslocamento
cp46; 237071; 60; 0; 0; Aceleracao; Velocidade; Deslocamento
cp47; 273586; 88; 0; 0; Aceleracao; Velocidade; Deslocamento
cp48; 282573; 44; 0; 0; Aceleracao; Velocidade; Deslocamento
cp49; 103625; 242; 0; 0; Aceleracao; Velocidade; Deslocamento
